id,title,company,location,salary,type,posted,status
"","Backend Engineer","IT Workshop, SM Trinoma","Bonifacio Global City, Taguig","Php 45K - 70K per month","Full-Time","[object Object]","PENDING"
"","Mid Level Software Developer","IT Workshop, SM Trinoma","SM Trinoma","Php 45K per month","Full-Time","[object Object]","ACCEPTED"
"","Expert Level Systems Develope","IT Workshop, SM Trinoma","Shangri-La Plaza, EDSA, Wack-Wack Greenhills, Mandaluyong, Eastern Manila District, Metro Manila, 1555, Philippines","Php 40K per month","Full-Time","[object Object]","PENDING"
"","Expert Level Developer Manila","IT Workshop, SM Trinoma","Manila, Capital District, Metro Manila, Philippines","Php 45K per month","Full-Time","[object Object]","ACCEPTED"
"","IT Developer","IT Workshop, Trinoma City","SM Aura, Carlos P. Garcia Avenue, Fort Bonifacio, Taguig District 2, Taguig, Southern Manila District, Metro Manila, 1634, Philippines","Php 35K per month","Full-Time","[object Object]","ACCEPTED"
"","Solid Intermediate Developer","IT Workshop, Trinoma City","SM City Clark, Clark-Mabalacat-Angeles Road, Lakandula, Angeles, Pampanga, Central Luzon, 2024, Philippines","Php 25K per month","Full-Time","[object Object]","ACCEPTED"
"","Mid Level Software","IT Workshop, Trinoma City","TriNoma, Mindanao Avenue, Bagong Pag-asa, Diliman, 1st District, Quezon City, Eastern Manila District, Metro Manila, 1100, Philippines","Php 25K per month","Full-Time","[object Object]","ACCEPTED"
"","Mid Level Developer TriNoma City","IT Workshop, Trinoma City","Multiple Sites","Php 25K per month","Contract","[object Object]","ACCEPTED"
"","Expert Developer","IT Workshop, Trinoma City","Trinoma City, Manila","Php 45K per month","Full-Time","[object Object]","ACCEPTED"
"","Expert Level Engineer","IT Workshop, Trinoma City","SM Trinoma, Manila","Php 45K per month","Full-Time","[object Object]","ACCEPTED"
"","Expert Engineer","IT Workshop, Trinoma City","SM Trinoma, Manila","Php 45K per month","Full-Time","[object Object]","ACCEPTED"
"","Mid Level Engineer","IT Workshop, Trinoma City","SM Trinoma, Manila","Php 25K per month","Full-Time","[object Object]","ACCEPTED"
"","R Statisticianas","IT Workshop, Trinoma City","Trinoma","Php 25K per month","Full-Time","[object Object]","ACCEPTED"
"","R Statisticiana","IT Workshop, Trinoma City","Trinoma","Php 25K per month","Full-Time","[object Object]","ACCEPTED"
"","R Statistician","IT Workshop, Trinoma City","Trinoma","Php 25K per month","Full-Time","[object Object]","PENDING"
"","R Statistics","IT Workshop, Trinoma City","Trinoma","Php 25K per month","Full-Time","[object Object]","ACCEPTED"
"","Java Developer","IT Workshop, Trinoma City","Industrial Zone","Php 28K per month","Full-Time","[object Object]","ACCEPTED"
"","Python Developer","IT Workshop, Trinoma City","Downtown, Metro City","Php 25K per month","Full-Time","[object Object]","ACCEPTED"
"","Mid-Level Back End Developer","IT Workshop, Trinoma City","Downtown, Metro City","Php 25K per month","Full-Time","[object Object]","ACCEPTED"
"","Expert Chef","Luxury Manila Resto 025","Multiple Sites","Php 45K per month","Full-Time","[object Object]","ACCEPTED"
"","Entry Level Chef","Luxury Manila Resto 025","Various Locations","Php 25K per month","Full-Time","[object Object]","ACCEPTED"
"","Head Chef","Luxury Manila Resto 025","Various Locations","Php 50K per month","Full-Time","[object Object]","ACCEPTED"
"","Steak Searer","Luxury Manila Resto 025","Various Locations","Php 45K per month","Temporary","[object Object]","ACCEPTED"
"","Senior Chef","Luxury Manila Resto 025","Industrial Zone","Php 35K per month","Full-Time","[object Object]","ACCEPTED"
"","UX Electrician","Electronic Construction","Various Locations","Php 15K per month","Temporary","[object Object]","ACCEPTED"
"","Electrician","Electronic Construction","Downtown, Metro City","Php 24K per month","Temporary","[object Object]","ACCEPTED"
"","Construction Worker","Electronic Construction","Central Business District","Php 15K per month","Part-Time","[object Object]","ACCEPTED"
"","Mid Level Developer","IT Workshop, SM City Baguio","Multiple Sites","Php 25K per month","Full-Time","[object Object]","ACCEPTED"
"","Entry Level Software Engineer","IT Workshop, SM City Baguio","Downtown, Metro City","Php 15K per month","Full-Time","[object Object]","ACCEPTED"
"","Senior Software Engineer","IT Workshop, Trinoma City","Downtown, Metro City","Php 25K per month","Full-Time","[object Object]","ACCEPTED"
